bored,danger,dangerous,depress,destructive,dishonor,guilt,guilty,hunger,hungry,interest,lazy,lose,loss,phlegmatic,sadness,sleep,suicidal,tired,Cluster
0,0,0,0,0,0,0.221071,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.203011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.389126,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.224829,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.186029,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.27667,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.218701,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.248714,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.420661,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.248847,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.201955,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.290342,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.375315,0,0,0,0.253226,0,yes
0,0,0,0,0,0,0.169049,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.343212,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255707,0,yes
0,0,0,0,0,0,0.171639,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.231488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.174115,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.203084,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.209082,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0.42417,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.232835,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.618551,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.29949,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.202854,0.318442,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.186233,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.198289,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.414377,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.199018,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257032,0,yes
0,0,0,0,0,0,0.195502,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.227225,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.364472,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.197804,0,0,0,0,0,0,0,0,0,0,0,0,yes
